,project,run_name,metrics/mmlu/0-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu/5-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu-pro/0-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu-pro/5-shot/InContextLearningMultipleChoiceAccuracy,math/MATH,math/MATH_ru,math/gsm8k,math/gsm8k_ru,code/humaneval/base_pass@1,code/humaneval/plus_pass@1,code/mbpp/base_pass@1,code/mbpp/plus_pass@1,code/lcb/pass@1,code/lcb/pass@10
55,code_annealing_7B_5_3_1,nemotron_sft_code-sft_Qwen2.5-Coder-32B-Instruct_tokenized_4096_mds_annealing_3T_40B,0.6145848035812378,0.6351659297943115,0.3075132966041565,0.3268783390522003,,,,,,,,,,
56,code_annealing_7B_5_3_1,FIM_3+_tokenized_4096_mds_annealing_3T_40B,0.6271186470985413,0.6489816308021545,0.3079288601875305,0.3365192711353302,0.251,0.2126,0.6307808946171342,0.5579984836997726,0.3170731707317073,0.2682926829268293,0.6481481481481481,0.5291005291005291,0.10824644549763034,0.16208530805687205
57,code_annealing_7B_5_3_1,OpenCodeGeneticInstruct_mixtral-8x22b-instruct_ttokenized_4096_mds_annealing_3T_40B,0.6215638518333435,0.6368038654327393,0.31175199151039124,0.32513296604156494,0.2502,0.2046,0.6467020470053071,0.5398028809704322,0.4695121951219512,0.4207317073170731,0.7063492063492064,0.5846560846560847,0.10350710900473932,0.17061611374407584
58,code_annealing_7B_5_3_1,OpenCodeGeneticInstruct_qwen2.5-32b-instruct_ttokenized_4096_mds_annealing_3T_40B,0.6242700219154358,0.6395812630653381,0.3075964152812958,0.33352726697921753,,,,,,,,,,
59,code_annealing_7B_5_3_1,self-oss-instruct-sc2-exec-filter-50k_ttokenized_4096_mds_annealing_3T_40B,0.6252670288085938,0.6444950699806213,0.314660906791687,0.3252160847187042,0.2538,0.2122,0.6292645943896892,0.5648218347232752,0.34146341463414637,0.2926829268292683,0.6666666666666666,0.5582010582010583,0.08360189573459714,0.13554502369668248
60,code_annealing_7B_5_3_1,stack-edu-with-texts_Python_tokenized_4096_mds_annealing_3T_40B,0.6166500449180603,0.6347386240959167,0.30560171604156494,0.33743351697921753,0.2528,0.205,0.6209249431387415,0.5420773313115997,0.38414634146341464,0.2926829268292683,0.6640211640211641,0.5634920634920635,0.10834123222748816,0.16966824644549763
61,code_annealing_7B_5_3_1,starcoder_new_code_python_tokenized_4096_mds_annealing_3T_40B,0.6180031299591064,0.6416465044021606,0.30992352962493896,0.3270445466041565,,,,,,,,,,
62,code_annealing_7B_5_3_1,synthetic_python_filtered_no_leaks_tokenized_4096_mds_annealing_3T_40B,0.6227745413780212,0.6468451619148254,0.3109208643436432,0.33011966943740845,0.268,0.2152,0.6520090978013646,0.5799848369977255,0.4817073170731707,0.4329268292682927,0.6798941798941799,0.5740740740740741,0.11469194312796208,0.1734597156398104
63,reasoning_annealing_7B_5_3_1,5.3.1_base_annealing_3T_40B,0.6273322701454163,0.6484119296073914,0.31233376264572144,0.3346908390522003,0.2556,0.21,0.6360879454131918,0.5534495830174374,0.35365853658536583,0.29878048780487804,0.626984126984127,0.5105820105820106,,
64,reasoning_annealing_7B_5_3_1,aqua_rat_MinChangeAns_mds_4k_annealing_3T_40B,0.6274747252464294,0.6432844400405884,0.3241356313228607,0.33735039830207825,0.32,0.2728,0.7088703563305534,0.6027293404094011,0.3719512195121951,0.3231707317073171,0.6190476190476191,0.4947089947089947,,
